,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
11,Multi-signal fusion diagnosis of gearbox based on minimum Bayesian risk reclassification and adaptive weighting,187,,,"Tao Laifa);,Sun Lulu);,Wu Yundi);,Lu Chen);,Ma Jian);,Cheng Yujie);,Suo Mingliang","Tao LF,Sun LL,Wu YD,Lu C,Ma J,Cheng YJ,Suo ML",,10.1016/j.measurement.2021.110358,,"Gearbox mainly including gears and bearings plays a significant role in adjusting the speed and torque in the rotating machinery, whose failure will seriously affect the production safety and industrial process. In this paper, a multi-signal fusion fault diagnosis method based on a reclassification model and an adaptive weighting mechanism is proposed. Different from the previous decision-making process of PNN, our reclassification model can make full use of the diagnosis information and prior knowledge, and a classification risk coefficient is introduced to derive a lower risk and more accurate results. The adaptive weighting mechanism designed for decision information fusion could assign more reasonable and flexible weights without depending on the experts. Finally, the proposed method is verified by a power transmission experimental platform. The results show that the proposed multi-signal fusion fault diagnosis method can effectively fuse multiple signals to achieve robust gearbox fault diagnosis and yields the promised results.","Gearbox,Reclassification model,Adaptive weighting mechanism,Multi-signal fusion",Article,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Engineering,Instruments & Instrumentation",,3.778,"FAULT-DIAGNOSIS,PLANETARY,GEARBOX,DECOMPOSITION,BEARING,VECTOR",MEASUREMENT,,
12,Fault diagnosis of rotating machinery based on dual convolutional-capsule network (DC-CN),187,,,"Li DeCai,Zhang Mian,Kang TianBo,Li Bin,Xiang HongBiao,Wang KeSheng,Pei ZhenLong,Tang XiuYang,Wang Peng","Li DC,Zhang M,Kang TB,Li B,Xiang HB,Wang KS,Pei ZL,Tang XY,Wang P",,10.1016/j.measurement.2021.110258,,"Health services for rotating machinery are essential to ensure safe industrial production. In recent years, deep learning (DL) methods based on vibration analysis have been continuously developed in rotating mechanical fault diagnosis (MFD). However, current diagnostic models based on DL facing three major challenges: (1) Convolutional neural network (CNN)-based DL algorithms lose spatial information of features, which may inevitably cause recognition errors; (2) Sufficient faulty training samples must be required to guarantee the learning capability of DL models, which may not be satisfied in actual engineering; (3) The poor generality of existing DL-based models make it difficult for different rotating machines or even different components of a mechanical device for diagnostic tasks. Toward the above problems, a revised DL model, namely dual convolution-capsule network (DC-CN), is introduced to diagnose rotating machinery faults under minor sample conditions. The DC-CN well merits the advantages of CNN and the capsule network (CN), which fully retains spatial information while digging in-depth fault features. Therefore, DC-CN achieves an ideal balance between diagnostic effectiveness and data amount. Experiments including different rotating machinery and different fault components are conducted to validate the diagnostic performance of the proposed model, and the tSNE dimensionality reduction algorithm is introduced to visualize the extracted features. The proposed DC-CN demonstrated the best diagnostic capability than other DL models in different rotating machinery: 1. For rolling bearing, DC-CN achieved 99.78%, 98.22%, 100%, and 100% under 4 different loading conditions; 2. For the planetary gearbox, DC-CN reached 96.91% and 98.22% under different rotational conditions, including 8 health scenarios of different gear types; 3. DC-CN has excellent performance under small sample conditions.","Rotating machinery,Deep learning,DC-CN,Rolling bearings",Article,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Engineering,Instruments & Instrumentation",,3.778,"NEURAL-NETWORKS,TRANSFORM,GEARBOX",MEASUREMENT,,
13,A mathematical model of vibration signal for multistage wind turbine gearboxes with transmission path effect analysis,167,,,"Nie Yanyan,Li Fangyi,Wang Liming,Li Jianfeng,Sun Mingshuai,Wang Mengyao,Li Jianyong","Nie YY,Li FY,Wang LM,Li JF,Sun MS,Wang MY,Li JY",,10.1016/j.mechmachtheory.2021.104428,,"The sensor-perceived vibration signals of multistage wind turbine gearboxes have more complex frequency features than that of single-stage gearboxes since there are more meshing vibration sources and more complicated transmission paths inside them, which lead to difficulties in condition monitoring and fault diagnosis. Aiming to understand the vibration frequency features of multistage wind turbine gearboxes, a mathematical vibration model of healthy wind turbine gearboxes is developed and the spectral structure of the model is deduced by adopting Fourier series analysis. In the vibration model, the time-varying transmission paths from all the meshing vibration sources to the fixed sensor are considered, and the equivalent transmission path functions of the time-varying transmission paths are proposed for the first time. The theoretical derivations are validated by both simulations and engineering tests using two cases of 2.0MW industrial wind turbine gearboxes. The findings in this work are not only applicable to the gearboxes studied in this paper, but also to other similar multistage gearboxes, which can provide a priori spectral structure for the multistage gearbox to assist its condition monitoring and fault diagnosis.","Mathematical model,Vibration signal,Multistage wind turbine gearbox,Transmission path,Frequency features",Article,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",Engineering,,3.79,"PLANETARY,GEAR,SET,FAULT-DIAGNOSIS,MESH,STIFFNESS,FREQUENCY,EXPLANATION,FAILURE",MECHANISM AND MACHINE THEORY,,
14,Planetary gearbox fault diagnosis using bidirectional-convolutional LSTM networks,162,,,"Shi Junchuan,Peng Dikang,Peng Zhongxiao,Zhang Ziyang,Goebel Kai,Wu Dazhong","Shi JC,Peng DK,Peng ZX,Zhang ZY,Goebel K,Wu DZ",,10.1016/j.ymssp.2021.107996,,"Gearbox fault diagnosis is expected to significantly improve the reliability, safety and efficiency of power transmission systems. However, planetary gearbox fault diagnosis remains a challenge due to complex responses caused by multiple planetary gears. Model-based gearbox fault diagnosis techniques extract hand-crafted features from sensor data based on underlying physics and statistical analysis, which are not effective in extracting spatial and temporal features automatically. While deep learning methods such as convolutional neural network (CNN) enable automatic feature extraction from multiple sensor sources, they are not capable of extracting spatial and temporal features simultaneously without losing critical feature information. To address this issue, we introduce a novel deep neural network based on bidirectional-convolutional long shortterm memory (BiConvLSTM) networks to determine the type, location, and direction of planetary gearbox faults by extracting spatial and temporal features from both vibration and rotational speed measurements automatically and simultaneously. In particular, a CNN determines spatial correlations between two measurements within one time step automatically by combining signals collected from three accelerometers and one tachometer. Long short-term memory (LSTM) networks identify temporal dependencies between two adjacent time steps. By replacing input-tostate and state-to-state operations in the LSTM cell with convolutional operations, the BiConvLSTM can learn spatial correlations and temporal dependencies without losing critical features. Experimental results have shown that the BiConvLSTM network can detect the type, location, and direction of gearbox faults with higher accuracy than conventional deep learning approaches such as CNN, LSTM, and CNN-LSTM.","Deep learning,Spatiotemporal feature",Article,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Engineering,,6.662,"VIBRATION,CNN",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,https://doi.org/10.1016/j.ymssp.2021.107996,
15,"Diagnostics and prognostics of planetary gearbox using CWT, auto regression (AR) and K-means algorithm",184,,,"Manarikkal Imthiyas,Elasha Faris,Mba David","Manarikkal I,Elasha F,Mba D",,10.1016/j.apacoust.2021.108314,,"Condition monitoring of machine is recognized as effective strategy for undertaking the maintenance in wide variety of industries. Planetary gearbox is a critical component in helicopters, wind turbines, hybrid vehicles and so forth. Planetary gearbox are complex in nature due to its size and meshing components. Condition monitoring and fault diagnosis of planetary gearbox is challenging due to complexity in dependable fault extraction from raw vibration signal. The mechanism of planetary gearbox is complex as there are several gears meshing at the same time. To find out the nature of fault and defective component in planetary gearbox is difficult. In this paper, the fault detection and fault type identification diagnostic approach using auto regression model (AR) and continuous wavelet transforms (CWT) by considering different frequency range is established. The experimental research conducted with different type of fault vibration signals in the gearbox have been diagnosed and identified the fault type using AR Modelling, Impulse and Shape Factor for validation purposes. The unique behaviors and fault characteristics of planetary gearboxes are identified and analyzed. The fault frequency identification and extraction of features from the non-stationary signals in different fault severity level of vibration data demonstrates the reliability of proposed method. The developed algorithm adds efficacy in detecting the nature of fault and defective component without performing a visual inspection. (C) 2021 Elsevier Ltd. All rights reserved.","Condition monitoring,Auto regression modelling,Continuous wavelet transforms,Prognostics,Diagnostics",Article,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",Acoustics,,2.832,"CONTINUOUS,WAVELET,TRANSFORM,FAULT-DIAGNOSIS,VIBRATION,MODULATION,DISCRETE",APPLIED ACOUSTICS,,
16,Multidimensional Data Interpretation of Vibration Signals Registered in Different Locations for System Condition Monitoring of a Three-Stage Gear Transmission Operating under Difficult Conditions,21,23,,"Wojnar Grzegorz,Burdzik Rafal,Wieczorek Andrzej N.,Konieczny Lukasz","Wojnar G,Burdzik R,Wieczorek AN,Konieczny L",,10.3390/s21237808,,"This article provides a discussion of the results of studies on the original system condition monitoring of a three-stage transmission with a bevel-cylindrical-planetary configuration installed in an experimental scraper conveyor. Due to the high vibroactivity of gear transmissions operating under the impact of a scraper conveyor's chain drive, these unwanted effects of machine operating vibrations were assumed to be applied. For purposes of the study, vibrations were measured on the driving transmission housing in an idling scraper conveyor. The main purpose of the study was to establish the frequencies characteristic of the gear transmission, and to determine whether it was possible to run vibroacoustic diagnostics of the same transmission under conditions with a considerable impact of the conveyor chain. An additional cognitively significant research goal was the analysis of the dependence of the diagnostic utility of the signal depending on the sensor mounting point. Five different locations of three-axis sensors oriented to the next stages and various types of gears were determined, as well as places characterized by high spatial accessibility, which are often selected as places for measuring the vibration of gears. Using MATLAB software, a program was written that was calibrated and adapted to the specifics of the measuring equipment based on the collected test results. As a result, it was possible to obtain a multidimensional data interpretation of vibration signals of system condition monitoring of a three-stage gear transmission operating under difficult conditions. The results were based on signals registered on the real three-stage gear transmission operating under the impact of a scraper conveyor's chain drive.","vibrations,sensor location,STFT,FFT,waveform",Article,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Chemistry,Engineering,Instruments & Instrumentation",,3.735,"FOURIER-TRANSFORM,FAULT-DIAGNOSIS,TOOTHED,GEAR,TIME,ALGORITHM",SENSORS,https://www.mdpi.com/1424-8220/21/23/7808/pdf,
17,An Enhanced Multifeature Fusion Method for Rotating Component Fault Diagnosis in Different Working Conditions,70,4,1611-1620,"Miao Jianguo,Wang Jianyu,Miao Qiang","Miao JG,Wang JY,Miao Q",,10.1109/TR.2021.3117732,,"Mechanical rotating components such as bearing and gear are widely used in various industrial occasions. Fault diagnosis of rotating component can guarantee operational reliability and reduce maintenance cost of system. Although many fault diagnosis methods have been developed based on artificial intelligence methods, most of them ignore the existing signal processing knowledge in rotating element fault diagnosis domain. Meanwhile, these methods just assume that working conditions such as load or rotating speed keep constant, which may cause low accuracy once operating condition changes. To address these problems, an enhanced intelligent fault diagnosis method for rotating component is proposed based on multifeature and convolutional neural network (CNN). The vibration signals are first transformed into angular domain by resampling technique. Then, the angular domain signals are converted to obtain corresponding envelope and squared envelope spectrum features, which are fused into red-green-blue color image form to enhance sample features and enlarge differences among various health states. Finally, a CNN is constructed to accomplish fault recognition. Experimental results show that the average diagnosis accuracies of planetary gearbox and rolling element bearing datasets can reach 96.7% and 95.65%, which demonstrate that the multifeature approach is effective in fault diagnosis of rotating components in scenarios with different rotating speeds.","Convolution,Vibrations,Convolutional neural networks,Employee welfare,Feature extraction,Deep learning,Convolutional neural network (CNN),multifeature,squared envelope spectrum (SES)",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering",,4.324,"ROLLING,BEARINGS,MACHINES,NETWORKS,SPECTRUM",IEEE TRANSACTIONS ON RELIABILITY,,
18,An identification method for mechanical fault diagnosis based on generalized matrix norm sparse filtering,32,12,,"Shi Zhaoting,Wang Jinrui,Bao Huaiqian,Liu Guifang,Zhang Guowei,Gao Tong","Shi ZT,Wang JR,Bao HQ,Liu GF,Zhang GW,Gao T",,10.1088/1361-6501/ac2619,,"Acoustic signals have attracted increasing attention in mechanical fault diagnosis due to the advantage of non-invasive measurement. However, the acoustic signal has low signal-to-noise ratio and weak fault characteristics, which brings difficulty for fault feature extraction. To address the above deficiencies, a novel sparse filtering (SF) method based on generalized matrix norm SF (GMNSF) is proposed in this paper, which uses the matrix norm to determine the optimal sparse feature distribution. Specifically, principal component analysis is employed on the overlapping segments of the acquired sound signal first. Then, the GMNSF model is trained by principal component matrix and sparse features are mapped from the trained weight matrix. Finally, softmax regression is used as a classifier to categorize different fault types. The diagnostic performance of the proposed method is verified by the bearing and planetary gear datasets. Results show that the GMNSF model has good feature extraction performance than other traditional methods that can be used for mechanical fault diagnosis under acoustic signals.","acoustic signal,sparse filtering,generalized matrix norm,principal components analysis",Article,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Engineering,Instruments & Instrumentation",,2.11,"UNSUPERVISED,LEARNING-METHOD,DEEP,NEURAL-NETWORKS,ROTATING,MACHINERY,FREQUENCY-ANALYSIS,SIGNAL",MEASUREMENT SCIENCE AND TECHNOLOGY,,
19,Convolutional plug-and-play sparse optimization for impulsive blind deconvolution,161,,,"Du Zhaohui,Zhang Han,Chen Xuefeng,Yang Yixin","Du ZH,Zhang H,Chen XF,Yang YX",,10.1016/j.ymssp.2021.107877,,"Impulsive blind deconvolution (IBD) is a fundamental ill-posed inverse problem in fault diagnosis community. Current IBD methods mainly utilize the intrinsic prior knowledge of impulsive sources to design various regularization terms (e.g., kurtosis, sparsity) to alleviate its ill-posedness. However, the great potentiality of statistical distribution structures embedded in observation data hasn't been exploited to establish more effective model and algorithm for IBD problem. Leveraging recent plug-and-play (PnP) strategy, a convolutional sparse optimization framework (dubbed COPS) is proposed to address it. Firstly, based on the fact that the absolute envelope of Gaussian noises follows a Rayleigh distribution and sparse impulsive components can be viewed as its outliers, a noise-aware statistical threshold is introduced to design a data-driven sparse penalty. Secondly, from a Bayesian perspective, a mapping relation between residual distribution and model hyper-parameter is unveiled, and then an adaptive parameter penalty is established to dynamically select model hyper-parameters. Lastly, two penalties are plugged into ADMM solver by PnP strategy to guarantee algorithmic convergence. Comprehensive numerical simulations confirm the COPS's advantages in terms of robustness, convergence, scalability and effectiveness. Diagnostic results of planetary gearbox faults further corroborate the COPS retains better deconvolutional accuracy than the state-of-the-art IBD techniques. (C) 2021 Elsevier Ltd. All rights reserved.","Plug-and-play priors,Data-driven sparsity,Adaptive parameter selection,Alternating direction method of multipliers (ADMM),Impulsive blind deconvolution",Article,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Engineering,,6.662,"MINIMUM,ENTROPY,DECONVOLUTION,FAULT-DETECTION,SIGNAL,DECOMPOSITION,MATCHING,PURSUIT,CONCAVE,PENALTY,DIAGNOSIS,ALGORITHM,MODEL,REPRESENTATION,ENHANCEMENT",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,
20,Component matching chirplet transform via frequency-dependent chirp rate for wind turbine planetary gearbox fault diagnostics under variable speed condition,161,,,"Miaofen Li,Tianyang Wang,Fulei Chu,Zhipeng Feng","Li MF,Wang TY,Chu FL,Feng ZP",,10.1016/j.ymssp.2021.107997,,"A component matching chirplet transform (CMCT) via frequency-dependent chirp rate with high time-frequency (TF) resolution is proposed for wind turbine planetary gearbox (WTPG) fault diagnostics under variable speed condition. The challenge of identifying fault-related frequencies with small intervals, due to the time-varying rotational speed and complex structure of WTPG, can be well addressed. Unlike conventional chirplet transform, CMCT can generate a family of frequency-dependent chirplets, which can match all frequency components with a sufficiently high TF resolution. Furthermore, this proposed method does not require any prior knowledge. The effectiveness of CMCT is validated by a numerical simulation and an experimental data collected from a wind turbine drivetrain test rig.","Chirplet transform,Wind turbine,Variable speed condition",Article,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Engineering,,6.662,"TIME-DOMAIN,AVERAGES,WAVELET,TRANSFORM,SUN,GEAR,VIBRATION",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,
